App Name,App ID,Final,Running Result,Install Result,Remarks,App Category,Developer,App Version,Updated Date,Crash log,Camera_p
Woodoku Blast,com.tripledot.blockbash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire - Classic Card Game,com.playvalve.solitaire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Google Voice,com.google.android.apps.googlevoice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total Battle: War Strategy,com.totalbattle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Triple Match 3D,com.master.triple3d.find,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Match Villains,com.goodjobgames.matchvillains,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
My Perfect Hotel,com.master.hotelmaster,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gossip Harbor: Merge & Story,com.mergegames.gossipharbor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
I Am Cat,com.NewFolderGames.IAmCat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bingo Legends,com.bingo.legends.game,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Goods Puzzle: Sort ChallengeÃÂ,com.fc.goods.sort.matching.puzzle.triplemaster,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Matching Story - Puzzle Games,com.joycastle.mergematch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bluesky,xyz.blueskyweb.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
I Am Security,com.NewFolderGames.IAmSecurirty,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Propel EBT & SNAP Benefits,com.propel.ebenefits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"NYT Games: Word, Number, Logic",com.nytimes.crossword,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bus Escape: Traffic Jam,com.abi.busjam.sortpuzzle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sling: Live TV + Freestream,com.sling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire Smash: Real Cash!,com.play.solitairesmash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AT&T ActiveArmor?,com.att.mobilesecurity,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Local Weather: Live Forecast,com.localweather.radar.climate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Amazon Freevee: Free Movies/TV,com.amazon.imdb.tv.mobile.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NetShort - Popular Dramas & TV,com.netshort.abroad,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2248 - Number Games 2048,com.inspiredsquare.jupiter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Fubo: Watch Live TV & Sports,tv.fubo.mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ShortMax - Watch Dramas & Show,live.shorttv.apps,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Finch: Self-Care Pet,com.finch.finch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Goods Master 3D: Puzzle Games,com.goods.master3d.triple.puzzle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solo Leveling:Arise,com.netmarble.sololv,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hunting Sniper,com.online.huntingsniper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Instacart: Earn money to shop,com.instacart.shopper,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Find The Cat - Spot It!,com.ventogames.findthecat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
