Issue Originator,Registered Date,Source of Issue,Play Store App Category,PLM Folder,Main Issue ID,3rd Party Issue ID,Issue Description,Application,Developer,App ID,App ver.,Model,Reproducible on Ref. Model,Issue Type,Issue Status
Anna,6/7/2024,App Consistency Test,Shopping,3rd Party App Issue Management,,P240608-00772,Widget is not working.,Walmart: Shopping & Savings,Walmart,com.walmart.android,24.21.1,F946U;#F731U;#Pixel (U OS),False,Widget,Closed - Not Fixed
Jay,5/12/2021,App Consistency Test,Shopping,[3rd Party]App comp_Global Top App Critical Issues,P210513-00290,,A black screen display in multiwindow view,Walmart Shopping & Grocery,,com.walmart.android,,F711U;#F926U,True,Multi-Window,Closed - Not Fixed
TJ,9/11/2024,App Update Test,ENTERTAINMENT,3rd Party App Issue Management,P240912-00905, P240912-09020,"Screen layout doesn't fit, and some UI buttons overlapped",Tubi: Free Movies & Live TV,Tubi TV,com.tubitv,8.18.0,F946U,False,Continuity (Folding),Closed - Not Fixed
Anna,7/24/2024,Chromebook,Entertainment,[MR]PC 3rd party App-Web-Game Issue Management,P240725-03412,,Layout issues on first page at first launching.,Tubi: Free Movies & Live TV,Tubi TV,com.tubitv,8.14.1,XE550XGAA,False,Full screen Layout,Open
Hong,6/29/2023,App Consistency Test,Entertainment,3rd Party App Issue Management,,P230630-00529,No media controls on Flex panel,Tubi - Movies & TV Shows,Tubi TV,com.tubitv,7.11.1,F946U;#F936U;#F731U;#F721U,True,Flex mode,Closed - Not Fixed
Hong,6/29/2023,App Consistency Test,Entertainment,3rd Party App Issue Management,,P230630-00483,Bluetooth media controls do not work as expected,Tubi - Movies & TV Shows,Tubi TV,com.tubitv,7.11.1,S918U;#F946U;#F936U;#F731U;#F721U;#S908U;#Pixel (T OS);#All Models,True,Function,Closed - Not Fixed
Anna,7/24/2024,Chromebook,Communication,[MR]PC 3rd party App-Web-Game Issue Management,P240725-03470,P240807-00551,Camera function is not working and app becomes unresponsive.,TextNow: Call + Text Unlimited,"TextNow, Inc.",com.enflick.android.TextNow,24.27.0.3,F946U;#XE550XGAA,False,Exception/Crash/Force Close,Open
Yeji,7/5/2024,App Update Test,COMMUNICATION,3rd Party App Issue Management,P240706-00780,P240709-00583,App restarts on MW/dark mode/folding,TextNow: Call + Text Unlimited,"TextNow, Inc.",com.enflick.android.TextNow,23.27.0.1,F946U;#F936U;#S928U;#A326U,False,Multi-Window,Closed - Not Fixed
Hong,12/21/2022,Exploratory Test,Communication,3rd Party App Issue Management,,P221222-01700,"Taps do not register after rotating DUT to landscape, app eventually force quits.",TextNow: Call + Text Unlimited,"TextNow, Inc.",com.enflick.android.TextNow,,F936U (T OS);#F936U;#F926U (T OS),True,Exception/Crash/Force Close,Closed - Not Fixed
Hong,12/14/2022,App Consistency Test,Communication,3rd Party App Issue Management,P230131-00073,P221215-01124,Gesture-based phone controls on Bluetooth device do not work as expected,TextNow: Call + Text Unlimited,"TextNow, Inc.",com.enflick.android.TextNow,,S918U;#S908U (T OS);#S908U;#Pixel (T OS),True,Function,Closed - Not Fixed
Hong,10/10/2022,App Consistency Test,Communication,3rd Party App Issue Management,,P221011-00432,"App does not resize properly in MW, user cannot unlock app in MW",TextNow: Call + Text Unlimited,,com.enflick.android.TextNow,,S918U;#F936U (T OS);#F936U;#F721U (T OS);#F721U;#S908U (T OS);#S908U;#Pixel (T OS);#All Models,True,Multi-Window,Closed - Not Fixed
Hong,9/8/2022,App Consistency Test,Shopping,3rd Party App Issue Management,,P220909-01269,App does not resize properly in MW,Whatnot: Live Video Shopping,Whatnot Inc.,com.whatnot_mobile,,F936U (T OS);#F936U;#F926U;#F721U (T OS);#F721U;#F711U,True,Multi-Window,Closed - Not Fixed
