App Name,App ID,App Version,Install Result,Launch Result,Comment
Find Hidden Objects - Spot It!,com.yolo.hiddenobjects ,2.28,PASS ,PASS ,nan
ColorBlock : Combo Blast,com.blockpuzzle.comboblastmaster.freegame ,2.2.0 ,PASS ,PASS ,nan
Sydney Health,com.anthem.sydney ,8.9.0 ,PASS ,PASS ,nan
Solitaire Master - Card Game,com.intensedev.classicsolitaire.gp ,1.0.9 ,PASS ,PASS ,nan
Barclays US,com.barclaycardus ,NA ,FAIL ,NA ,nan
Bubble Shooter! Extreme,bubble.shooter.exxtreme ,2.9,PASS ,PASS ,nan
Bluey: Let's Play!,com.budgestudios.googleplay.BlueyBLU ,2025.2.0 ,PASS ,PASS ,nan
CoinSnap - Coin Identifier,com.coinidentifyer.ai ,1.7.13 ,PASS ,PASS ,nan
Solitaire:Classic Deluxe Cards,com.solitaire.cards.deluxe ,1.2.3 ,PASS ,PASS ,nan
Zangi Private Messenger,com.beint.zangi ,6.2.1 ,PASS ,PASS ,nan
Empower®,com.participantmobileapp ,2025.03.12 (2025.03.12) ,PASS ,PASS ,nan
Mini Games: Calm & Relax,com.uc.minigame.relax ,1.0.53 ,PASS ,PASS ,nan
Truist Mobile,com.truist.mobile ,4.0.0 ,PASS ,PASS ,nan
My Straight Talk: Mobile App,com.tracfone.straighttalk.myaccount ,R27.5.1 ,PASS ,PASS ,nan
Goods Sort - Sorting Games,closet.match.pair.matching.games ,4.203,PASS ,PASS ,nan
BALA AI: Character AI Chat App,com.bala.ai.android ,3.6.0 ,PASS ,PASS ,nan
Cup Heroes,com.studio501.cuphero ,1.12.2 ,PASS ,PASS ,nan
Solitaire Verse,com.gimica.solitaireverse ,1.2.3 ,PASS ,PASS ,nan
Local News: Breaking & Latest,com.novanews.localnews.en ,2.6.1 ,PASS ,PASS ,nan
MeloShort - Movies&Dramas,com.drama.happy.look ,2.20.01 ,PASS ,PASS ,nan
My Talking Angela 2,com.outfit7.mytalkingangela2 ,25.1.1.30240 ,PASS ,PASS ,nan
Acorns: Invest For Your Future,com.acorns.android ,4.135.0 ,PASS ,PASS ,nan
Last Z: Survival Shooter,com.readygo.barrel.gp ,1.250.650 ,PASS ,PASS ,nan
ParentSquare,com.parentsquare.psapp ,2.83.1 ,PASS ,PASS ,nan
Bus Out,com.ig.bus.out ,1.133,PASS ,PASS ,nan
DARK AND DARKER MOBILE,com.krafton.dndm ,0.1106.01 ,PASS ,FAIL ,nan
Woodle Screw Jam: Nuts & Bolts,com.wood.bolt.wordle.screw.nuts.puzzle ,1.1.0 ,PASS ,PASS ,nan
Link to Windows,com.microsoft.appmanager ,NA ,FAIL ,NA ,nan
Viki: Asian Dramas & Movies,com.viki.android ,NA ,FAIL ,NA ,nan
PDF Reader - PDF Viewer,com.pdfreader.free.viewer.documentreader ,1.9.3 ,PASS ,PASS ,nan
Arby's Fast Food Sandwiches,com.arbys.android.arbysapp ,4.37.6 ,PASS ,PASS ,nan
Ball Sort Puz - Color Game,com.playvalve.ballsort ,1.8.1 ,PASS ,PASS ,nan
Truck Star,com.vm3.global ,1.23.3 ,PASS ,PASS ,nan
Smart Life - Smart Living,com.tuya.smartlife ,6.3.1 ,PASS ,PASS ,nan
Seat Away,com.ozn.busqueuee ,1.06.0 ,PASS ,PASS ,nan
Merge Studio: Fashion Makeover,com.paxiegames.mergestudio ,3.3.0 ,PASS ,PASS ,nan
Yatzy - Fun Classic Dice Game,com.playvalve.yatzy ,2.7.0 ,PASS ,PASS ,nan
Sudoku Master!,com.mathbrain.sudoku ,3.5.1 ,PASS ,PASS ,nan
Classic Solitaire: Regal Card,com.solitarie.card.regal.game ,1.2.4 ,PASS ,PASS ,nan
Math Crossword  Number puzzle,com.zm.crossmath ,3.8.0 ,PASS ,PASS ,nan
Idle Zombie Miner: Gold Tycoon,com.zombie.idleminertycoon ,2.191,PASS ,PASS ,nan
Enigma of Sépia,com.nhldmyhy.anz ,NA ,FAIL ,NA ,nan
Jack in the Box® - Order Food,com.jackintheboxinc.JackMobileApp ,2025.7,PASS ,PASS ,nan
Colorwood Sort Puzzle Game,games.burny.color.sort.woody.puzzle ,3.8.17770 ,PASS ,PASS ,nan
Seaside Escape®: Merge & Story,com.gamedots.seasideescape ,1.66.0 ,PASS ,PASS ,nan
My Water Tracker & Reminder,com.water.tracker.remind ,1.5.1 ,PASS ,PASS ,nan
Idle Lumber Empire,com.lumber.inc ,1.11.5 ,PASS ,PASS ,nan
Archery Clash!,archery.clash.tournament ,0.27.2 ,PASS ,PASS ,nan
Mech Arena - Shooting Game,com.plarium.mechlegion ,3.270.00 ,PASS ,PASS ,nan
Gin Rummy - Classic Card Game,com.fiogonia.gin ,2.0.3 ,PASS ,PASS ,nan
Blossom Match - Puzzle Game,com.tripledot.tile.blossom ,2.65.00 ,PASS ,PASS ,nan
Bubble Shooter,com.bubbleshooter.popbubbles.collectcards ,1.9.7 ,PASS ,PASS ,nan
Bowmasters: Archery Shooting,com.playgendary.bowmasters ,7.1.11 ,PASS ,PASS ,nan
JustPlay: Earn Money or Donate,com.justplay.app ,1.0.70-ALL_COUNTRIES.RELEASE ,PASS ,PASS ,nan
Domino Legends: Classic Game,com.playvalve.dominoes ,1.5.3 ,PASS ,PASS ,nan
Telehealth by SimplePractice,com.simplepractice.video ,4.1.1 ,PASS ,PASS ,nan
Royal Cooking - Cooking Game,com.matryoshka.royal.cooking.kitchen.madness ,1.17.1.1 ,PASS ,PASS ,nan
Screwdom 3D,com.ig.screwdom ,3.7.3 ,PASS ,PASS ,nan
ALDI USA,de.apptiv.business.android.aldi_us ,9.2512.0 ,PASS ,PASS ,nan
Kikoff - Build Credit Quickly,com.kikoff ,1.113.1375 ,PASS ,PASS ,nan
Speechify Text to Speech Audio,com.cliffweitzman.speechify2 ,5.3.2114 ,PASS ,PASS ,nan
Woodoku Blast,com.tripledot.blockbash ,1.03.35 ,PASS ,PASS ,nan
Call of Duty®: Warzone Mobile,com.activision.callofduty.warzone ,4.3.1.21711549 ,PASS ,PASS ,nan
PDF Reader - Viewer & Editor,com.pdf.read.view.editor.pdfreader.pdfviewer ,1.3.8 ,PASS ,PASS ,nan
Jigsaw Puzzle Explorer,in.playsimple.jigsaw_puzzle ,1.280.0 ,PASS ,PASS ,nan
Circle K,com.circlek.gmap.na ,3.36.0 ,PASS ,PASS ,nan
Screw Away: 3D Pin Puzzle,com.screw.away.pin.puzzle.and ,1.9.9 ,PASS ,PASS ,nan
Solitaire - Classic Card Games,beetles.puzzle.solitaire ,1.73.0 ,PASS ,PASS ,nan
Belk  Shopping App,com.belk.android.belk ,51.0.0 ,PASS ,PASS ,nan
Tactical Syndicate,com.tacticalsyndicate.assess ,NA ,FAIL ,NA ,Installation Failed
Xumo Play: Stream TV & Movies,com.xumo.xumo ,NA ,FAIL ,NA ,Installation Failed
