App Name,App ID,App Category,Developer,App Version,Updated Date,TargetSdk,Permissions
Bath & Body Works,com.bathandbody.bbw,SHOPPING,Bath & Body Works- Mobile,8.1.0,"Jan 21, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Device ID & call information,Other,Uncategorized"
My H-E-B,com.heb.myheb,SHOPPING,H-E-B,2.48.0.64,"Apr 21, 2025",35,"Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
All-in-one Calculator Launcher,com.tip.calculator.unit.converter.android,TOOLS,AtomApplications,3.3.1,"Apr 25, 2025",35,"Location,Other,Uncategorized"
Fandango at Home,air.com.vudu.air.DownloaderTablet,ENTERTAINMENT,Fandango at Home,10.10.r003.174301061,"Apr 1, 2025",34,"Identity,Contacts,Photos/Media/Files,Storage,Microphone,Wi-Fi connection information,Other,Uncategorized"
Paycom,com.paycom.mobile.ess,TOOLS,"Paycom Software, Inc.",6.6.0,"Apr 21, 2025",34,"Location,Photos/Media/Files,Storage,Camera,Microphone,Other,Uncategorized"
Amazon Freevee: Free Movies/TV,com.amazon.imdb.tv.mobile.app,ENTERTAINMENT,Amazon Mobile LLC,1.16.0,"Nov 22, 2023",33,"Identity,Contacts,Location,Phone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Roku Smart Home,com.roku.rokuhome,HOUSE_AND_HOME,"Roku, Inc. & its affiliates",3.3.0.469,"Apr 23, 2025",34,"Location,Phone,Photos/Media/Files,Storage,Camera,Microphone,Wi-Fi connection information,Device ID & call information,Other,Uncategorized"
Brightest Flashlight Launcher,com.flashlight.bright.led.light,,,,,,
Local News: Headlines & Alerts,com.opera.app.news.local,,,,,,
UnitedHealthcare,com.mobile.uhc,,,,,,
Webull: Investing & Trading,org.dayup.stocks,,,,,,
Truth Social,com.truthsocial.android.app,,,,,,
Live Weather Radar Launcher,com.weatherradarhome.weather.forecast.live.radar.aqi.android,,,,,,
"Priceline: Hotel, Flight & Car",com.priceline.android.negotiator,,,,,,
hoopla Digital,com.hoopladigital.android,,,,,,
craigslist,org.craigslist.CraigslistMobile,,,,,,
Paylocity,com.paylocity.paylocitymobile,,,,,,
Hilton Honors: Book Hotels,com.hilton.android.hhonors,,,,,,
Rewarded Play: Earn Gift Cards,com.affinity.rewarded_play,,,,,,
